1	5.1	3.5	1.4	0.2	"a"
2	4.9	3	1.4	0.2	"b"
3	4.7	3.2	1.3	0.2	"c"
4	4.6	3.1	1.5	0.2	"a"
5	5	3.6	1.4	0.2	"b"
6	5.4	3.9	1.7	0.4	"c"
7	4.6	3.4	1.4	0.3	"a"
8	5	3.4	1.5	0.2	"b"
9	4.4	2.9	1.4	0.2	"c"
10	4.9	3.1	1.5	0.1	"a"
11	5.4	3.7	1.5	0.2	"b"
12	4.8	3.4	1.6	0.2	"c"
13	4.8	3	1.4	0.1	"a"
14	4.3	3	1.1	0.1	"b"
15	5.8	4	1.2	0.2	"c"
16	5.7	4.4	1.5	0.4	"a"
17	5.4	3.9	1.3	0.4	"b"
18	5.1	3.5	1.4	0.3	"c"
19	5.7	3.8	1.7	0.3	"a"
20	5.1	3.8	1.5	0.3	"b"
21	5.4	3.4	1.7	0.2	"c"
22	5.1	3.7	1.5	0.4	"a"
23	4.6	3.6	1	0.2	"b"
24	5.1	3.3	1.7	0.5	"c"
25	4.8	3.4	1.9	0.2	"a"
26	5	3	1.6	0.2	"b"
27	5	3.4	1.6	0.4	"c"
28	5.2	3.5	1.5	0.2	"a"
29	5.2	3.4	1.4	0.2	"b"
30	4.7	3.2	1.6	0.2	"c"
31	4.8	3.1	1.6	0.2	"a"
32	5.4	3.4	1.5	0.4	"b"
33	5.2	4.1	1.5	0.1	"c"
34	5.5	4.2	1.4	0.2	"a"
35	4.9	3.1	1.5	0.2	"b"
36	5	3.2	1.2	0.2	"c"
37	5.5	3.5	1.3	0.2	"a"
38	4.9	3.6	1.4	0.1	"b"
39	4.4	3	1.3	0.2	"c"
40	5.1	3.4	1.5	0.2	"a"
41	5	3.5	1.3	0.3	"b"
42	4.5	2.3	1.3	0.3	"c"
43	4.4	3.2	1.3	0.2	"a"
44	5	3.5	1.6	0.6	"b"
45	5.1	3.8	1.9	0.4	"c"
46	4.8	3	1.4	0.3	"a"
47	5.1	3.8	1.6	0.2	"b"
48	4.6	3.2	1.4	0.2	"c"
49	5.3	3.7	1.5	0.2	"a"
50	5	3.3	1.4	0.2	"b"
51	7	3.2	4.7	1.4	"c"
52	6.4	3.2	4.5	1.5	"a"
53	6.9	3.1	4.9	1.5	"b"
54	5.5	2.3	4	1.3	"c"
55	6.5	2.8	4.6	1.5	"a"
56	5.7	2.8	4.5	1.3	"b"
57	6.3	3.3	4.7	1.6	"c"
58	4.9	2.4	3.3	1	"a"
59	6.6	2.9	4.6	1.3	"b"
60	5.2	2.7	3.9	1.4	"c"
61	5	2	3.5	1	"a"
62	5.9	3	4.2	1.5	"b"
63	6	2.2	4	1	"c"
64	6.1	2.9	4.7	1.4	"a"
65	5.6	2.9	3.6	1.3	"b"
66	6.7	3.1	4.4	1.4	"c"
67	5.6	3	4.5	1.5	"a"
68	5.8	2.7	4.1	1	"b"
69	6.2	2.2	4.5	1.5	"c"
70	5.6	2.5	3.9	1.1	"a"
71	5.9	3.2	4.8	1.8	"b"
72	6.1	2.8	4	1.3	"c"
73	6.3	2.5	4.9	1.5	"a"
74	6.1	2.8	4.7	1.2	"b"
75	6.4	2.9	4.3	1.3	"c"
76	6.6	3	4.4	1.4	"a"
77	6.8	2.8	4.8	1.4	"b"
78	6.7	3	5	1.7	"c"
79	6	2.9	4.5	1.5	"a"
80	5.7	2.6	3.5	1	"b"
81	5.5	2.4	3.8	1.1	"c"
82	5.5	2.4	3.7	1	"a"
83	5.8	2.7	3.9	1.2	"b"
